frame_idx,start_ms,end_ms,f1,p1,f2,p2,f3,p3,f4,p4,f5,p5
63,168.0,253.33,93.8,100.0,46.9,60.96,82.0,49.05,105.5,46.91,35.2,39.54
64,170.67,256.0,93.8,100.0,46.9,58.62,82.0,47.49,105.5,47.47,58.6,37.57
65,173.33,258.67,93.8,100.0,46.9,56.32,105.5,48.95,82.0,47.19,58.6,39.86
66,176.0,261.33,93.8,100.0,46.9,54.03,105.5,51.26,82.0,47.91,58.6,41.21
67,178.67,264.0,93.8,100.0,105.5,53.94,46.9,51.5,82.0,48.98,140.6,43.94
68,181.33,266.67,93.8,100.0,105.5,56.24,82.0,49.69,46.9,48.35,140.6,46.68
69,184.0,269.33,93.8,100.0,105.5,57.64,82.0,49.57,140.6,48.94,152.3,46.06
70,186.67,272.0,93.8,100.0,105.5,58.27,140.6,50.8,175.8,49.86,152.3,49.01
71,189.33,274.67,93.8,100.0,105.5,58.58,175.8,54.28,140.6,52.38,152.3,50.7
72,192.0,277.33,93.8,100.0,105.5,58.82,175.8,58.52,140.6,53.74,152.3,51.04
73,194.67,280.0,93.8,100.0,175.8,62.55,105.5,58.93,140.6,54.88,164.1,51.65
74,197.33,282.67,93.8,100.0,175.8,66.12,105.5,58.7,140.6,55.88,164.1,54.59
75,200.0,285.33,93.8,100.0,175.8,69.03,105.5,58.0,164.1,56.9,140.6,56.8
76,202.67,288.0,93.8,100.0,175.8,71.16,164.1,58.74,140.6,57.7,105.5,56.86
77,205.33,290.67,93.8,100.0,175.8,72.36,164.1,60.46,140.6,58.82,105.5,55.6
78,208.0,293.33,93.8,100.0,175.8,72.56,164.1,62.46,140.6,60.5,105.5,54.79
79,210.67,296.0,93.8,100.0,175.8,71.64,164.1,64.66,140.6,62.47,105.5,54.35
80,213.33,298.67,93.8,100.0,175.8,69.34,164.1,67.04,140.6,64.27,82.0,54.05
81,216.0,301.33,93.8,100.0,164.1,69.6,140.6,65.4,175.8,65.36,82.0,55.96
82,218.67,304.0,93.8,100.0,164.1,72.19,140.6,65.76,175.8,59.89,82.0,56.12
83,221.33,306.67,93.8,100.0,164.1,74.86,140.6,65.38,82.0,54.77,175.8,53.36
84,224.0,309.33,93.8,100.0,164.1,77.55,140.6,64.26,82.0,52.13,105.5,51.36
85,226.67,312.0,93.8,100.0,164.1,80.13,140.6,62.52,46.9,55.39,152.3,54.98
86,229.33,314.67,93.8,100.0,164.1,82.63,152.3,61.7,46.9,61.5,140.6,60.65
87,232.0,317.33,93.8,100.0,164.1,85.02,46.9,67.7,152.3,66.16,58.6,61.56
88,234.67,320.0,93.8,100.0,164.1,87.07,46.9,73.76,152.3,68.24,58.6,66.7
89,237.33,322.67,93.8,100.0,164.1,88.29,46.9,79.29,58.6,70.87,152.3,67.86
90,240.0,325.33,93.8,100.0,164.1,88.41,46.9,83.89,58.6,74.04,152.3,65.11
91,242.67,328.0,93.8,100.0,46.9,87.58,164.1,87.39,58.6,76.16,175.8,61.36
92,245.33,330.67,93.8,100.0,46.9,90.25,164.1,85.22,58.6,77.36,175.8,69.71
93,248.0,333.33,93.8,100.0,46.9,91.88,164.1,82.04,58.6,77.87,175.8,77.16
94,250.67,336.0,93.8,100.0,46.9,92.39,175.8,83.3,164.1,77.96,58.6,77.79
95,253.33,338.67,93.8,100.0,46.9,91.85,175.8,87.85,58.6,77.1,164.1,73.12
96,256.0,341.33,93.8,100.0,175.8,90.74,46.9,90.28,58.6,75.99,187.5,72.34
97,258.67,344.0,93.8,100.0,175.8,91.98,46.9,87.82,58.6,74.71,187.5,74.05
98,261.33,346.67,93.8,100.0,175.8,91.59,46.9,84.65,187.5,75.31,58.6,73.33
99,264.0,349.33,93.8,100.0,175.8,89.56,46.9,80.88,187.5,76.16,58.6,71.81
100,266.67,352.0,93.8,100.0,175.8,85.9,46.9,76.56,187.5,76.52,58.6,70.12
101,269.33,354.67,93.8,100.0,175.8,80.59,187.5,76.36,46.9,71.67,58.6,68.21
102,272.0,357.33,93.8,100.0,187.5,75.58,175.8,73.75,46.9,66.25,58.6,65.98
103,274.67,360.0,93.8,100.0,187.5,74.13,175.8,65.68,58.6,63.29,46.9,60.45
104,277.33,362.67,93.8,100.0,187.5,72.05,58.6,60.14,175.8,56.69,82.0,54.86
105,280.0,365.33,93.8,100.0,187.5,69.37,58.6,56.52,82.0,51.9,46.9,48.33
106,282.67,368.0,93.8,100.0,187.5,66.15,58.6,52.47,82.0,48.9,164.1,42.37
107,285.33,370.67,93.8,100.0,187.5,62.65,58.6,48.3,82.0,46.47,164.1,43.35
108,288.0,373.33,93.8,100.0,187.5,59.16,82.0,45.18,164.1,44.65,58.6,44.38
109,290.67,376.0,93.8,100.0,187.5,55.84,164.1,46.39,82.0,45.26,140.6,43.5
110,293.33,378.67,93.8,100.0,187.5,52.79,164.1,48.58,140.6,46.82,82.0,46.52
111,296.0,381.33,93.8,100.0,164.1,51.18,187.5,50.27,140.6,49.73,152.3,48.98
112,298.67,384.0,93.8,100.0,152.3,56.76,164.1,54.1,140.6,52.41,82.0,51.19
113,301.33,386.67,93.8,100.0,152.3,63.42,164.1,57.15,140.6,55.04,82.0,53.88
114,304.0,389.33,93.8,100.0,152.3,68.73,164.1,59.76,140.6,57.49,82.0,55.99
115,306.67,392.0,93.8,100.0,152.3,72.67,164.1,61.44,175.8,59.78,140.6,59.51
116,309.33,394.67,93.8,100.0,152.3,75.32,58.6,64.04,175.8,63.58,164.1,62.0
117,312.0,397.33,93.8,100.0,152.3,76.82,58.6,69.97,175.8,66.07,140.6,61.86
118,314.67,400.0,93.8,100.0,152.3,77.21,58.6,74.91,175.8,67.26,46.9,63.18
119,317.33,402.67,93.8,100.0,58.6,78.51,152.3,76.44,46.9,69.1,175.8,67.14
120,320.0,405.33,93.8,100.0,58.6,80.73,152.3,74.5,46.9,74.24,175.8,65.89
121,322.67,408.0,93.8,100.0,58.6,81.57,46.9,78.85,152.3,71.52,187.5,65.54
122,325.33,410.67,93.8,100.0,46.9,82.9,58.6,81.03,187.5,69.11,152.3,67.51
