frame_idx,start_ms,end_ms,f1,p1,f2,p2,f3,p3,f4,p4,f5,p5
63,168.0,253.33,93.8,22.64,46.9,13.8,82.0,11.11,105.5,10.62,35.2,8.95
64,170.67,256.0,93.8,23.16,46.9,13.58,82.0,11.0,105.5,10.99,58.6,8.7
65,173.33,258.67,93.8,23.58,46.9,13.28,105.5,11.54,82.0,11.13,58.6,9.4
66,176.0,261.33,93.8,23.9,46.9,12.91,105.5,12.25,82.0,11.45,58.6,9.85
67,178.67,264.0,93.8,24.17,105.5,13.04,46.9,12.45,82.0,11.84,140.6,10.62
68,181.33,266.67,93.8,24.46,105.5,13.76,82.0,12.15,46.9,11.82,140.6,11.42
69,184.0,269.33,93.8,24.82,105.5,14.31,82.0,12.3,140.6,12.15,152.3,11.43
70,186.67,272.0,93.8,25.25,105.5,14.71,140.6,12.82,175.8,12.59,152.3,12.37
71,189.33,274.67,93.8,25.68,105.5,15.04,175.8,13.94,140.6,13.45,152.3,13.02
72,192.0,277.33,93.8,26.09,105.5,15.35,175.8,15.27,140.6,14.02,152.3,13.32
73,194.67,280.0,93.8,26.49,175.8,16.57,105.5,15.61,140.6,14.54,164.1,13.68
74,197.33,282.67,93.8,26.88,175.8,17.77,105.5,15.78,140.6,15.02,164.1,14.67
75,200.0,285.33,93.8,27.26,175.8,18.82,105.5,15.81,164.1,15.51,140.6,15.48
76,202.67,288.0,93.8,27.61,175.8,19.65,164.1,16.22,140.6,15.93,105.5,15.7
77,205.33,290.67,93.8,27.88,175.8,20.17,164.1,16.86,140.6,16.4,105.5,15.5
78,208.0,293.33,93.8,27.99,175.8,20.31,164.1,17.49,140.6,16.94,105.5,15.34
79,210.67,296.0,93.8,28.0,175.8,20.06,164.1,18.1,140.6,17.49,105.5,15.22
80,213.33,298.67,93.8,27.96,175.8,19.39,164.1,18.74,140.6,17.97,82.0,15.11
81,216.0,301.33,93.8,27.96,164.1,19.46,140.6,18.29,175.8,18.28,82.0,15.65
82,218.67,304.0,93.8,28.04,164.1,20.24,140.6,18.44,175.8,16.79,82.0,15.73
83,221.33,306.67,93.8,28.14,164.1,21.07,140.6,18.4,82.0,15.41,175.8,15.02
84,224.0,309.33,93.8,28.27,164.1,21.92,140.6,18.16,82.0,14.74,105.5,14.52
85,226.67,312.0,93.8,28.42,164.1,22.77,140.6,17.77,46.9,15.74,152.3,15.62
86,229.33,314.67,93.8,28.55,164.1,23.59,152.3,17.62,46.9,17.56,140.6,17.31
87,232.0,317.33,93.8,28.65,164.1,24.36,46.9,19.4,152.3,18.96,58.6,17.64
88,234.67,320.0,93.8,28.74,164.1,25.03,46.9,21.2,152.3,19.62,58.6,19.17
89,237.33,322.67,93.8,28.9,164.1,25.51,46.9,22.91,58.6,20.48,152.3,19.61
90,240.0,325.33,93.8,29.13,164.1,25.76,46.9,24.44,58.6,21.57,152.3,18.97
91,242.67,328.0,93.8,29.42,46.9,25.76,164.1,25.71,58.6,22.4,175.8,18.05
92,245.33,330.67,93.8,29.71,46.9,26.81,164.1,25.32,58.6,22.99,175.8,20.71
93,248.0,333.33,93.8,29.99,46.9,27.56,164.1,24.61,58.6,23.36,175.8,23.14
94,250.67,336.0,93.8,30.26,46.9,27.96,175.8,25.2,164.1,23.59,58.6,23.54
95,253.33,338.67,93.8,30.51,46.9,28.02,175.8,26.8,58.6,23.52,164.1,22.31
96,256.0,341.33,93.8,30.73,175.8,27.88,46.9,27.74,58.6,23.35,187.5,22.23
97,258.67,344.0,93.8,30.88,175.8,28.4,46.9,27.12,58.6,23.07,187.5,22.86
98,261.33,346.67,93.8,30.92,175.8,28.32,46.9,26.18,187.5,23.29,58.6,22.68
99,264.0,349.33,93.8,30.87,175.8,27.65,46.9,24.97,187.5,23.51,58.6,22.17
100,266.67,352.0,93.8,30.74,175.8,26.41,46.9,23.54,187.5,23.53,58.6,21.56
101,269.33,354.67,93.8,30.57,175.8,24.64,187.5,23.34,46.9,21.91,58.6,20.85
102,272.0,357.33,93.8,30.38,187.5,22.96,175.8,22.4,46.9,20.12,58.6,20.04
103,274.67,360.0,93.8,30.18,187.5,22.37,175.8,19.82,58.6,19.1,46.9,18.24
104,277.33,362.67,93.8,29.98,187.5,21.6,58.6,18.03,175.8,16.99,82.0,16.45
105,280.0,365.33,93.8,29.78,187.5,20.66,58.6,16.83,82.0,15.46,46.9,14.39
106,282.67,368.0,93.8,29.62,187.5,19.59,58.6,15.54,82.0,14.48,164.1,12.55
107,285.33,370.67,93.8,29.48,187.5,18.47,58.6,14.24,82.0,13.7,164.1,12.78
108,288.0,373.33,93.8,29.32,187.5,17.35,82.0,13.25,164.1,13.09,58.6,13.01
109,290.67,376.0,93.8,29.17,187.5,16.29,164.1,13.53,82.0,13.2,140.6,12.69
110,293.33,378.67,93.8,29.05,187.5,15.33,164.1,14.11,140.6,13.6,82.0,13.51
111,296.0,381.33,93.8,28.97,164.1,14.82,187.5,14.56,140.6,14.41,152.3,14.19
112,298.67,384.0,93.8,28.88,152.3,16.39,164.1,15.62,140.6,15.14,82.0,14.78
113,301.33,386.67,93.8,28.75,152.3,18.24,164.1,16.43,140.6,15.83,82.0,15.49
114,304.0,389.33,93.8,28.65,152.3,19.7,164.1,17.12,140.6,16.47,82.0,16.04
115,306.67,392.0,93.8,28.6,152.3,20.79,164.1,17.58,175.8,17.1,140.6,17.02
116,309.33,394.67,93.8,28.57,152.3,21.51,58.6,18.29,175.8,18.16,164.1,17.71
117,312.0,397.33,93.8,28.53,152.3,21.91,58.6,19.96,175.8,18.85,140.6,17.65
118,314.67,400.0,93.8,28.55,152.3,22.05,58.6,21.39,175.8,19.2,46.9,18.04
119,317.33,402.67,93.8,28.67,58.6,22.51,152.3,21.92,46.9,19.81,175.8,19.25
120,320.0,405.33,93.8,28.84,58.6,23.29,152.3,21.49,46.9,21.41,175.8,19.01
121,322.67,408.0,93.8,28.94,58.6,23.6,46.9,22.82,152.3,20.7,187.5,18.96
122,325.33,410.67,93.8,28.92,46.9,23.98,58.6,23.44,187.5,19.99,152.3,19.53
123,328.0,413.33,93.8,28.8,46.9,24.86,58.6,22.78,187.5,20.96,152.3,18.02
124,330.67,416.0,93.8,28.55,46.9,25.49,187.5,21.83,58.6,21.61,175.8,17.48
125,333.33,418.67,93.8,28.23,46.9,25.86,187.5,22.57,58.6,19.95,175.8,17.53
126,336.0,421.33,93.8,27.93,46.9,25.92,187.5,23.2,58.6,17.92,175.8,17.87
127,338.67,424.0,93.8,27.72,46.9,25.74,187.5,23.69,175.8,18.52,35.2,17.56
128,341.33,426.67,93.8,27.61,46.9,25.39,187.5,24.05,175.8,19.43,35.2,18.55
129,344.0,429.33,93.8,27.52,46.9,24.93,187.5,24.3,175.8,20.51,35.2,19.49
130,346.67,432.0,93.8,27.46,46.9,24.47,187.5,24.44,175.8,21.68,35.2,20.37
131,349.33,434.67,93.8,27.42,187.5,24.52,46.9,24.11,175.8,22.82,35.2,21.19
132,352.0,437.33,93.8,27.36,187.5,24.58,46.9,24.0,175.8,23.82,35.2,21.86
133,354.67,440.0,93.8,27.27,175.8,24.64,187.5,24.61,46.9,24.25,35.2,22.36
134,357.33,442.67,93.8,27.17,175.8,25.2,46.9,24.86,187.5,24.65,35.2,22.72
135,360.0,445.33,93.8,27.12,46.9,25.86,175.8,25.42,187.5,24.77,35.2,22.9
136,362.67,448.0,46.9,27.11,93.8,27.1,175.8,25.26,187.5,24.99,35.2,22.91
137,365.33,450.67,46.9,28.54,93.8,27.07,187.5,25.31,175.8,24.71,35.2,22.75
138,368.0,453.33,46.9,30.02,93.8,27.04,187.5,25.75,175.8,23.77,35.2,22.4
139,370.67,456.0,46.9,31.36,93.8,27.14,187.5,26.35,175.8,22.45,35.2,21.97
140,373.33,458.67,46.9,32.42,93.8,27.42,187.5,27.06,35.2,21.55,175.8,20.88
141,376.0,461.33,46.9,33.13,93.8,27.86,187.5,27.86,58.6,21.25,35.2,21.12
142,378.67,464.0,46.9,33.46,187.5,28.78,93.8,28.47,58.6,22.75,140.6,20.84
143,381.33,466.67,46.9,33.37,187.5,29.78,93.8,29.18,58.6,23.87,140.6,21.63
144,384.0,469.33,46.9,32.76,187.5,30.87,93.8,29.91,58.6,24.62,140.6,22.19
145,386.67,472.0,187.5,32.04,46.9,31.7,93.8,30.55,58.6,24.92,140.6,22.56
146,389.33,474.67,187.5,33.22,93.8,31.01,46.9,30.26,58.6,24.67,140.6,22.76
147,392.0,477.33,187.5,34.46,93.8,31.41,46.9,28.43,58.6,23.97,152.3,23.55
148,394.67,480.0,187.5,35.72,93.8,31.81,46.9,26.25,152.3,24.08,140.6,22.89
149,397.33,482.67,187.5,36.99,93.8,32.14,152.3,24.06,46.9,23.81,82.0,23.72
150,400.0,485.33,187.5,38.25,93.8,32.33,175.8,25.53,82.0,24.67,152.3,23.54
