frame_idx,start_ms,end_ms,f1,p1,f2,p2,f3,p3,f4,p4,f5,p5
63,672.0,714.67,93.8,100.0,164.1,91.64,187.5,80.56,117.2,69.31,23.4,64.84
64,682.67,725.33,93.8,100.0,70.3,81.0,164.1,73.82,46.9,66.53,140.6,47.22
65,693.33,736.0,93.8,100.0,70.3,99.01,46.9,62.2,117.2,55.71,164.1,47.14
66,704.0,746.67,93.8,100.0,117.2,81.88,46.9,71.54,187.5,65.36,445.3,47.15
67,714.67,757.33,93.8,100.0,187.5,99.48,70.3,95.46,164.1,79.38,140.6,60.42
68,725.33,768.0,164.1,100.0,187.5,96.29,93.8,70.92,140.6,66.28,70.3,64.27
69,736.0,778.67,187.5,100.0,140.6,72.94,23.4,53.05,117.2,50.79,234.4,38.72
70,746.67,789.33,187.5,100.0,164.1,93.94,46.9,80.05,140.6,74.54,23.4,60.97
71,757.33,800.0,46.9,100.0,187.5,76.13,23.4,62.84,70.3,57.34,140.6,49.03
72,768.0,810.67,46.9,100.0,187.5,65.58,23.4,58.78,164.1,48.26,70.3,43.65
73,778.67,821.33,46.9,100.0,187.5,82.35,23.4,63.47,70.3,59.14,164.1,52.53
74,789.33,832.0,187.5,100.0,46.9,81.27,164.1,57.35,23.4,56.58,210.9,47.96
75,800.0,842.67,187.5,100.0,46.9,63.43,210.9,56.41,23.4,46.34,164.1,40.64
76,810.67,853.33,187.5,100.0,164.1,88.6,46.9,81.61,23.4,59.9,140.6,43.69
77,821.33,864.0,46.9,100.0,187.5,96.23,23.4,69.45,164.1,65.44,140.6,44.9
78,832.0,874.67,187.5,100.0,46.9,86.48,23.4,63.8,164.1,59.77,140.6,54.37
79,842.67,885.33,164.1,100.0,140.6,97.57,187.5,88.46,46.9,66.35,23.4,49.46
80,853.33,896.0,140.6,100.0,187.5,65.14,117.2,53.99,93.8,53.71,164.1,48.64
81,864.0,906.67,164.1,100.0,187.5,92.95,140.6,61.85,70.3,59.61,46.9,51.96
82,874.67,917.33,187.5,100.0,46.9,62.13,70.3,52.58,164.1,49.24,93.8,39.35
83,885.33,928.0,187.5,100.0,164.1,69.9,46.9,53.36,210.9,46.04,93.8,42.14
84,896.0,938.67,187.5,100.0,46.9,86.77,164.1,53.14,23.4,49.16,210.9,48.58
85,906.67,949.33,46.9,100.0,187.5,85.01,70.3,66.31,210.9,53.72,23.4,53.16
86,917.33,960.0,187.5,100.0,164.1,77.09,46.9,68.07,70.3,46.56,23.4,42.97
87,928.0,970.67,187.5,100.0,164.1,95.48,140.6,69.01,210.9,51.61,117.2,35.77
88,938.67,981.33,187.5,100.0,140.6,87.23,210.9,61.85,93.8,39.02,46.9,35.79
89,949.33,992.0,140.6,100.0,187.5,80.05,117.2,76.68,164.1,75.12,93.8,55.64
90,960.0,1002.67,140.6,100.0,187.5,70.94,117.2,57.11,281.2,48.17,210.9,47.62
91,970.67,1013.33,164.1,100.0,187.5,86.35,140.6,71.98,281.2,66.32,257.8,57.78
92,981.33,1024.0,93.8,100.0,281.2,92.62,70.3,89.73,187.5,72.59,304.7,65.76
93,992.0,1034.67,93.8,100.0,70.3,78.89,117.2,64.41,23.4,51.44,281.2,51.04
94,1002.67,1045.33,70.3,100.0,46.9,97.2,93.8,86.04,23.4,65.52,140.6,64.52
95,1013.33,1056.0,117.2,100.0,140.6,98.39,164.1,93.38,70.3,87.61,23.4,83.9
96,1024.0,1066.67,93.8,100.0,70.3,78.92,117.2,68.83,46.9,64.58,23.4,55.31
97,1034.67,1077.33,93.8,100.0,46.9,83.56,23.4,55.76,117.2,53.89,164.1,52.39
98,1045.33,1088.0,46.9,100.0,70.3,84.37,93.8,69.66,23.4,58.23,164.1,48.53
99,1056.0,1098.67,46.9,100.0,23.4,54.18,93.8,42.46,140.6,32.22,164.1,31.45
100,1066.67,1109.33,46.9,100.0,70.3,81.22,23.4,76.66,93.8,67.93,164.1,54.52
101,1077.33,1120.0,93.8,100.0,46.9,73.54,164.1,68.8,70.3,49.49,117.2,49.32
102,1088.0,1130.67,70.3,100.0,93.8,87.68,46.9,79.13,187.5,69.71,164.1,67.49
103,1098.67,1141.33,46.9,100.0,93.8,67.46,187.5,66.6,23.4,42.5,140.6,36.94
104,1109.33,1152.0,46.9,100.0,70.3,79.47,23.4,50.63,93.8,48.09,187.5,47.97
105,1120.0,1162.67,46.9,100.0,23.4,46.12,70.3,45.15,187.5,45.04,93.8,30.38
106,1130.67,1173.33,46.9,100.0,70.3,66.06,187.5,59.36,23.4,55.11,164.1,49.47
107,1141.33,1184.0,46.9,100.0,187.5,78.74,23.4,70.02,164.1,66.44,93.8,44.69
108,1152.0,1194.67,46.9,100.0,187.5,90.14,70.3,89.94,93.8,81.39,23.4,75.07
109,1162.67,1205.33,93.8,100.0,187.5,74.85,70.3,59.38,23.4,46.48,46.9,35.59
110,1173.33,1216.0,187.5,100.0,93.8,87.06,164.1,81.14,70.3,68.77,117.2,55.33
111,1184.0,1226.67,187.5,100.0,210.9,51.21,164.1,50.88,93.8,46.93,70.3,25.61
112,1194.67,1237.33,187.5,100.0,164.1,66.99,46.9,47.32,70.3,41.63,210.9,40.65
113,1205.33,1248.0,187.5,100.0,46.9,64.66,164.1,60.0,210.9,50.43,23.4,47.73
114,1216.0,1258.67,187.5,100.0,23.4,79.02,46.9,63.87,93.8,63.74,164.1,54.67
115,1226.67,1269.33,46.9,100.0,70.3,87.19,23.4,63.38,187.5,56.82,93.8,51.55
116,1237.33,1280.0,46.9,100.0,70.3,71.35,23.4,59.56,187.5,56.83,93.8,32.96
117,1248.0,1290.67,187.5,100.0,164.1,71.67,23.4,71.09,46.9,69.65,210.9,53.28
118,1258.67,1301.33,187.5,100.0,164.1,75.03,23.4,51.3,281.2,49.67,46.9,46.86
119,1269.33,1312.0,46.9,100.0,187.5,69.73,70.3,52.8,140.6,44.98,23.4,44.44
120,1280.0,1322.67,46.9,100.0,70.3,62.37,187.5,52.73,23.4,49.72,164.1,42.48
121,1290.67,1333.33,46.9,100.0,70.3,81.18,187.5,50.15,23.4,44.51,164.1,43.25
122,1301.33,1344.0,46.9,100.0,70.3,69.21,187.5,52.47,164.1,43.79,23.4,34.15
123,1312.0,1354.67,46.9,100.0,187.5,64.84,23.4,52.79,210.9,44.26,164.1,38.06
124,1322.67,1365.33,46.9,100.0,23.4,62.86,70.3,45.26,187.5,39.39,210.9,29.25
125,1333.33,1376.0,46.9,100.0,70.3,65.96,23.4,54.47,187.5,33.03,164.1,25.65
126,1344.0,1386.67,46.9,100.0,70.3,50.13,23.4,47.38,164.1,44.92,187.5,35.0
127,1354.67,1397.33,46.9,100.0,23.4,55.12,70.3,50.02,140.6,39.97,164.1,36.99
128,1365.33,1408.0,46.9,100.0,23.4,58.19,93.8,36.47,117.2,33.91,70.3,31.22
129,1376.0,1418.67,46.9,100.0,70.3,65.43,23.4,59.26,93.8,49.96,117.2,43.47
130,1386.67,1429.33,46.9,100.0,187.5,89.34,23.4,86.66,210.9,54.32,164.1,49.36
131,1397.33,1440.0,187.5,100.0,164.1,69.88,23.4,67.56,210.9,47.29,46.9,45.53
132,1408.0,1450.67,187.5,100.0,46.9,97.41,164.1,84.35,70.3,83.93,23.4,69.28
133,1418.67,1461.33,46.9,100.0,187.5,72.93,93.8,58.16,164.1,57.86,23.4,52.74
134,1429.33,1472.0,46.9,100.0,70.3,68.59,187.5,39.66,93.8,38.84,23.4,37.74
135,1440.0,1482.67,46.9,100.0,23.4,48.65,70.3,44.21,93.8,35.72,117.2,35.14
136,1450.67,1493.33,46.9,100.0,70.3,62.46,23.4,58.0,93.8,39.95,117.2,31.19
137,1461.33,1504.0,46.9,100.0,23.4,63.05,234.4,38.2,164.1,36.33,70.3,30.73
138,1472.0,1514.67,70.3,100.0,46.9,71.71,23.4,52.86,93.8,52.6,164.1,49.36
139,1482.67,1525.33,70.3,100.0,93.8,66.72,46.9,45.36,23.4,40.62,164.1,22.26
140,1493.33,1536.0,46.9,100.0,70.3,90.51,23.4,54.48,93.8,45.37,210.9,23.16
141,1504.0,1546.67,46.9,100.0,23.4,64.75,70.3,43.14,187.5,36.16,210.9,28.89
142,1514.67,1557.33,46.9,100.0,187.5,89.01,117.2,74.07,140.6,70.04,70.3,57.89
