frame_idx,start_ms,end_ms,f1,p1,f2,p2,f3,p3,f4,p4,f5,p5
63,672.0,714.67,93.8,18.59,164.1,17.04,187.5,14.98,117.2,12.89,23.4,12.05
64,682.67,725.33,93.8,24.07,70.3,19.49,164.1,17.77,46.9,16.01,140.6,11.36
65,693.33,736.0,93.8,24.61,70.3,24.37,46.9,15.31,117.2,13.71,164.1,11.6
66,704.0,746.67,93.8,14.92,117.2,12.21,46.9,10.67,187.5,9.75,445.3,7.03
67,714.67,757.33,93.8,17.74,187.5,17.65,70.3,16.94,164.1,14.08,140.6,10.72
68,725.33,768.0,164.1,22.35,187.5,21.53,93.8,15.85,140.6,14.82,70.3,14.37
69,736.0,778.67,187.5,24.15,140.6,17.61,23.4,12.81,117.2,12.26,234.4,9.35
70,746.67,789.33,187.5,35.08,164.1,32.96,46.9,28.09,140.6,26.15,23.4,21.39
71,757.33,800.0,46.9,47.17,187.5,35.91,23.4,29.64,70.3,27.05,140.6,23.13
72,768.0,810.67,46.9,51.31,187.5,33.65,23.4,30.16,164.1,24.76,70.3,22.4
73,778.67,821.33,46.9,41.24,187.5,33.96,23.4,26.18,70.3,24.39,164.1,21.67
74,789.33,832.0,187.5,34.11,46.9,27.72,164.1,19.56,23.4,19.3,210.9,16.36
75,800.0,842.67,187.5,37.59,46.9,23.84,210.9,21.21,23.4,17.42,164.1,15.28
76,810.67,853.33,187.5,35.23,164.1,31.21,46.9,28.75,23.4,21.1,140.6,15.39
77,821.33,864.0,46.9,32.07,187.5,30.86,23.4,22.27,164.1,20.99,140.6,14.4
78,832.0,874.67,187.5,28.59,46.9,24.73,23.4,18.24,164.1,17.09,140.6,15.55
79,842.67,885.33,164.1,24.6,140.6,24.0,187.5,21.76,46.9,16.32,23.4,12.17
80,853.33,896.0,140.6,26.82,187.5,17.47,117.2,14.48,93.8,14.41,164.1,13.04
81,864.0,906.67,164.1,28.58,187.5,26.57,140.6,17.68,70.3,17.04,46.9,14.85
82,874.67,917.33,187.5,31.6,46.9,19.63,70.3,16.61,164.1,15.56,93.8,12.43
